crdc_mscl_r1_2,emb_fibr_r1_4,emb_fibr_r2_4,emb_fibr_r3_4,heart_r1_1,emb_fibr_r4_4,crdc_fibr_r1_3
Tbx5(T-box),Mef2b(MADS),Fos(bZIP),GATA3(Zf),Mef2c(MADS),TRPS1(Zf),Tbx5(T-box)
Tbx6(T-box),TRPS1(Zf),Fra1(bZIP),TRPS1(Zf),Mef2b(MADS),GATA3(Zf),Tbx6(T-box)
Tbet(T-box),GATA3(Zf),Fra2(bZIP),Fos(bZIP),Mef2d(MADS),Gata4(Zf),Tbet(T-box)
Eomes(T-box),Mef2c(MADS),Atf3(bZIP),Fra2(bZIP),CTCF(Zf),JunB(bZIP),Tbx21(T-box)
Tbx21(T-box),Gata4(Zf),JunB(bZIP),Fra1(bZIP),Mef2a(MADS),Fos(bZIP),Eomes(T-box)
Tbr1(T-box),Gata6(Zf),BATF(bZIP),JunB(bZIP),NF1(CTF),Atf3(bZIP),Tbr1(T-box)
Tgif2(Homeobox),CTCF(Zf),TRPS1(Zf),BATF(bZIP),BORIS(Zf),Fra1(bZIP),Meis1(Homeobox)
Meis1(Homeobox),Tbx5(T-box),Fosl2(bZIP),Atf3(bZIP),Tbx20(T-box),BATF(bZIP),Tgif2(Homeobox)
Tgif1(Homeobox),Mef2a(MADS),GATA3(Zf),Fosl2(bZIP),Tgif2(Homeobox),Fra2(bZIP),TRPS1(Zf)
HIC1(Zf),Gata2(Zf),AP-1(bZIP),AP-1(bZIP),Tgif1(Homeobox),Gata6(Zf),GATA3(Zf)
NF1-halfsite(CTF),Mef2d(MADS),Jun-AP1(bZIP),Gata4(Zf),Tbx5(T-box),AP-1(bZIP),Gata4(Zf)
Ptf1a(bHLH),Gata1(Zf),Gata4(Zf),Gata6(Zf),NF1-halfsite(CTF),Fosl2(bZIP),Gata6(Zf)
E2A(bHLH),Fos(bZIP),Mef2b(MADS),Mef2b(MADS),Gata4(Zf),Jun-AP1(bZIP),Tgif1(Homeobox)
Fos(bZIP),Fra1(bZIP),Gata6(Zf),Jun-AP1(bZIP),Meis1(Homeobox),Gata2(Zf),Gata2(Zf)
Ascl2(bHLH),Fra2(bZIP),Mef2c(MADS),Mef2c(MADS),GATA3(Zf),Gata1(Zf),Gata1(Zf)
HEB(bHLH),Atf3(bZIP),Tbx5(T-box),Tbx5(T-box),Gata6(Zf),TEAD3(TEA),Fos(bZIP)
Fra1(bZIP),BORIS(Zf),CTCF(Zf),Gata2(Zf),TRPS1(Zf),TEAD1(TEAD),JunB(bZIP)
Atf3(bZIP),Tbx6(T-box),Gata2(Zf),Gata1(Zf),Tlx,TEAD(TEA),BATF(bZIP)
Fra2(bZIP),JunB(bZIP),Mef2a(MADS),Mef2d(MADS),TEAD3(TEA),TEAD4(TEA),Fra1(bZIP)
Fosl2(bZIP),BATF(bZIP),TEAD3(TEA),Mef2a(MADS),TEAD1(TEAD),TEAD2(TEA),Fra2(bZIP)
JunB(bZIP),Fosl2(bZIP),Gata1(Zf),Tbx6(T-box),Gata2(Zf),Bach2(bZIP),AP-1(bZIP)
Ascl1(bHLH),Jun-AP1(bZIP),TEAD1(TEAD),TEAD3(TEA),Gata1(Zf),CRX(Homeobox),Atf3(bZIP)
E2A(bHLH),AP-1(bZIP),Mef2d(MADS),TEAD1(TEAD),TEAD4(TEA),GSC(Homeobox),Fosl2(bZIP)
Jun-AP1(bZIP),Tbet(T-box),TEAD4(TEA),CTCF(Zf),TEAD(TEA),RUNX(Runt),Mef2b(MADS)
AP-1(bZIP),Eomes(T-box),Tbx6(T-box),Tbet(T-box),Tbx6(T-box),RUNX1(Runt),Mef2c(MADS)
NF1(CTF),Tbx21(T-box),TEAD(TEA),TEAD4(TEA),TEAD2(TEA),RUNX2(Runt),Jun-AP1(bZIP)
Gata6(Zf),TEAD3(TEA),Tbet(T-box),Eomes(T-box),HIC1(Zf),RUNX-AML(Runt),Mef2a(MADS)
BATF(bZIP),TEAD1(TEAD),BORIS(Zf),TEAD(TEA),Tbet(T-box),NF-E2(bZIP),Mef2d(MADS)
Gata1(Zf),TEAD4(TEA),TEAD2(TEA),Tbx21(T-box),Eomes(T-box),NFE2L2(bZIP),KLF5(Zf)
Gata4(Zf),Tgif2(Homeobox),Eomes(T-box),Tbr1(T-box),Tbx21(T-box),Bach1(bZIP),KLF1(Zf)
Gata2(Zf),Tbr1(T-box),Tbx21(T-box),TEAD2(TEA),Bapx1(Homeobox),GATA,KLF14(Zf)
GATA3(Zf),TEAD(TEA),Bach2(bZIP),Bach2(bZIP),Nkx2.1(Homeobox),Otx2(Homeobox),Sp2(Zf)
MyoG(bHLH),NF1-halfsite(CTF),Tbr1(T-box),BORIS(Zf),Ap4(bHLH),MafK(bZIP),Bach2(bZIP)
Snail1(Zf),NF1(CTF),Tgif2(Homeobox),Tgif2(Homeobox),Esrrb(NR),Nrf2(bZIP),E2A(bHLH)
Tcf12(bHLH),TEAD2(TEA),NF1(CTF),Meis1(Homeobox),Tbr1(T-box),Stat3(Stat),KLF10(Zf)
TRPS1(Zf),Meis1(Homeobox),NF1-halfsite(CTF),Tgif1(Homeobox),MafA(bZIP),Pdx1(Homeobox),NF1-halfsite(CTF)
Nkx2.1(Homeobox),Tgif1(Homeobox),Meis1(Homeobox),NF1(CTF),Nkx2.2(Homeobox),HOXB13(Homeobox),WT1(Zf)
Myf5(bHLH),Bach2(bZIP),Tgif1(Homeobox),NF1-halfsite(CTF),MITF(bHLH),ERG(ETS),FOXA1(Forkhead)
SCL(bHLH),Tlx,Tlx,NF-E2(bZIP),ERRg(NR),CDX4(Homeobox),Ascl2(bHLH)
Tlx,Hand2(bHLH),NF-E2(bZIP),Bach1(bZIP),Hand2(bHLH),Eomes(T-box),Ptf1a(bHLH)
Ap4(bHLH),HIC1(Zf),Nrf2(bZIP),Tlx,Nkx2.5(Homeobox),Stat3,Myf5(bHLH)
Bapx1(Homeobox),Atoh1(bHLH),Atoh1(bHLH),Nrf2(bZIP),Sp5(Zf),En1(Homeobox),Tbx20(T-box)
Slug(Zf),NeuroD1(bHLH),HIC1(Zf),CRX(Homeobox),MyoG(bHLH),Gfi1b(Zf),Brachyury(T-box)
MyoD(bHLH),TCF4(bHLH),Bach1(bZIP),NFE2L2(bZIP),Fli1(ETS),Pitx1(Homeobox),NF1(CTF)
Tbx20(T-box),NeuroG2(bHLH),NeuroD1(bHLH),MafK(bZIP),NeuroD1(bHLH),Ap4(bHLH),Ascl1(bHLH)
Bach2(bZIP),Smad3(MAD),TCF4(bHLH),GSC(Homeobox),Elk4(ETS),Etv2(ETS),FOXA1(Forkhead)
Tcf21(bHLH),BHLHA15(bHLH),CRX(Homeobox),HIC1(Zf),Smad3(MAD),Fli1(ETS),Sp5(Zf)
Atoh1(bHLH),Tbx20(T-box),NFE2L2(bZIP),MITF(bHLH),Foxo3(Forkhead),EWS,KLF6(Zf)
KLF5(Zf),NF-E2(bZIP),BHLHA15(bHLH),MafA(bZIP),COUP-TFII(NR),ETV1(ETS),Sp1(Zf)
Nkx2.2(Homeobox),Smad2(MAD),NeuroG2(bHLH),KLF5(Zf),Usf2(bHLH),Smad3(MAD),FoxL2(Forkhead)
TEAD4(TEA),Smad4(MAD),GSC(Homeobox),Ap4(bHLH),Atoh1(bHLH),EWS,HEB(bHLH)
NPAS2(bHLH),SCL(bHLH),Olig2(bHLH),GATA,Tcf21(bHLH),ETV4(ETS),CTCF(Zf)
TEAD3(TEA),Tcf21(bHLH),Smad3(MAD),Fli1(ETS),Elk1(ETS),STAT4(Stat),Tbox
TEAD1(TEAD),Olig2(bHLH),Smad4(MAD),KLF14(Zf),Nr5a2(NR),Tcf21(bHLH),Foxo3(Forkhead)
Tbox,Ap4(bHLH),Ap4(bHLH),Tcf21(bHLH),KLF1(Zf),Bcl6(Zf),KLF3(Zf)
NeuroD1(bHLH),CRX(Homeobox),Tcf21(bHLH),Foxf1(Forkhead),Erra(NR),Hoxa11(Homeobox),CRX(Homeobox)
MafA(bZIP),GSC(Homeobox),Smad2(MAD),HOXB13(Homeobox),ETV4(ETS),Hoxd11(Homeobox),TEAD1(TEAD)
TCF4(bHLH),Bach1(bZIP),Twist2(bHLH),En1(Homeobox),TCF4(bHLH),Hoxd13(Homeobox),MyoG(bHLH)
BHLHA15(bHLH),Twist2(bHLH),RUNX(Runt),FoxL2(Forkhead),BMAL1(bHLH),ETS1(ETS),TEAD3(TEA)
Twist2(bHLH),HOXB13(Homeobox),SCL(bHLH),Foxo3(Forkhead),Sp2(Zf),Lhx3(Homeobox),BORIS(Zf)
Brachyury(T-box),Nrf2(bZIP),Hand2(bHLH),Hoxd11(Homeobox),Myf5(bHLH),Smad2(MAD),Tcf12(bHLH)
BMAL1(bHLH),GATA,MafK(bZIP),Stat3(Stat),FoxL2(Forkhead),Smad4(MAD),Foxf1(Forkhead)
NeuroG2(bHLH),Hoxd11(Homeobox),RUNX1(Runt),ERG(ETS),BHLHA15(bHLH),Cdx2(Homeobox),FOXM1(Forkhead)
EKLF(Zf),Ascl1(bHLH),KLF5(Zf),Pitx1(Homeobox),ELF1(ETS),NF1-halfsite(CTF),GSC(Homeobox)
TEAD(TEA),Myf5(bHLH),RUNX-AML(Runt),Brachyury(T-box),KLF14(Zf),BMYB(HTH),TEAD4(TEA)
bHLHE41(bHLH),CDX4(Homeobox),HOXB13(Homeobox),KLF6(Zf),Tcf12(bHLH),Nkx6.1(Homeobox),Tcf21(bHLH)
Rbpj1(,Tcf12(bHLH),GATA,Etv2(ETS),SCL(bHLH),MafA(bZIP),Ap4(bHLH)
KLF10(Zf),Bapx1(Homeobox),RUNX2(Runt),Bcl6(Zf),KLF5(Zf),NF1(CTF),Foxa2(Forkhead)
Olig2(bHLH),Hoxd13(Homeobox),Tbx20(T-box),Pdx1(Homeobox),Foxo1(Forkhead),STAT1(Stat),Klf4(Zf)
ZEB2(Zf),Hoxa13(Homeobox),Fli1(ETS),Foxo1(Forkhead),COUP-TFII(NR),PBX2(Homeobox),HIC1(Zf)
Nkx3.1(Homeobox),NFE2L2(bZIP),Foxf1(Forkhead),CDX4(Homeobox),Sp1(Zf),EHF(ETS),CRE(bZIP)
Klf4(Zf),Hoxa11(Homeobox),Etv2(ETS),CREB5(bZIP),Ascl1(bHLH),MYB(HTH),Foxa3(Forkhead)
TEAD2(TEA),Foxo1(Forkhead),MITF(bHLH),BMYB(HTH),USF1(bHLH),Ets1-distal(ETS),TEAD(TEA)
Nkx2.5(Homeobox),MITF(bHLH),ERG(ETS),Tbx20(T-box),GABPA(ETS),MafB(bZIP),Rbpj1(
NPAS(bHLH),Stat3,Foxo1(Forkhead),SCL(bHLH),Olig2(bHLH),MyoD(bHLH),FOXK1(Forkhead)
CLOCK(bHLH),FoxL2(Forkhead),FoxL2(Forkhead),Stat3,KLF6(Zf),AMYB(HTH),Elk1(ETS)
CTCF(Zf),MyoD(bHLH),Tcf12(bHLH),Bapx1(Homeobox),SF1(NR),Six2(Homeobox),Klf9(Zf)
Smad4(MAD),Foxf1(Forkhead),Ascl1(bHLH),Atoh1(bHLH),Nr5a2(NR),Tcf12(bHLH),Bach1(bZIP)
PRDM9(Zf),RUNX(Runt),ETV4(ETS),ETV4(ETS),En1(Homeobox),DLX2(Homeobox),ELF1(ETS)
Srebp1a(bHLH),Stat3(Stat),Hoxd11(Homeobox),Usf2(bHLH),Twist2(bHLH),Hand2(bHLH),Ronin(THAP)
ZBTB18(Zf),RUNX1(Runt),Foxo3(Forkhead),Smad3(MAD),ETS(ETS),Hoxa9(Homeobox),Egr1(Zf)
KLF14(Zf),MafA(bZIP),CDX4(Homeobox),Nkx6.1(Homeobox),CLOCK(bHLH),Hoxd10(Homeobox),GATA
Rfx6(HTH),Bcl6(Zf),Stat3,Hoxa11(Homeobox),NeuroG2(bHLH),Atoh1(bHLH),E2A(bHLH)
Egr1(Zf),MafK(bZIP),Bcl6(Zf),Lhx3(Homeobox),EAR2(NR),Myf5(bHLH),Nrf2(bZIP)
KLF6(Zf),MyoG(bHLH),Stat3(Stat),ETS1(ETS),Atf7(bZIP),Unknown(Homeobox),ETS(ETS)
MITF(bHLH),RUNX2(Runt),Myf5(bHLH),Myf5(bHLH),Jun-AP1(bZIP),Hoxa13(Homeobox),Tlx
MafK(bZIP),CArG(MADS),ETV1(ETS),c-Jun-CRE(bZIP),Atf1(bZIP),MITF(bHLH),MafA(bZIP)
Foxo1(Forkhead),Rbpj1(,ETS1(ETS),Klf4(Zf),ETV1(ETS),SCL(bHLH),EKLF(Zf)
HIF-1b(HLH),Unknown(Homeobox),GABPA(ETS),STAT4(Stat),Fosl2(bZIP),NeuroG2(bHLH),NF-E2(bZIP)
KLF1(Zf),Foxo3(Forkhead),Hoxd13(Homeobox),AMYB(HTH),Etv2(ETS),GABPA(ETS),TEAD2(TEA)
Stat3,RUNX-AML(Runt),MyoD(bHLH),DLX2(Homeobox),NPAS(bHLH),Tlx,Elk4(ETS)
WT1(Zf),Tbox,Pdx1(Homeobox),Atf7(bZIP),EWS,BHLHA15(bHLH),Fox
Mef2d(MADS),Brachyury(T-box),MafA(bZIP),GABPA(ETS),Nkx3.1(Homeobox),DLX1(Homeobox),Atf7(bZIP)
Npas4(bHLH),STAT4(Stat),Rbpj1(,Sp2(Zf),Fos(bZIP),MyoG(bHLH),Nkx2.1(Homeobox)
Srebp2(bHLH),Six2(Homeobox),En1(Homeobox),EWS,THRb(NR),Foxo3(Forkhead),Fli1(ETS)
Smad2(MAD),AMYB(HTH),KLF6(Zf),ETV1(ETS),KLF3(Zf),TCF4(bHLH),Bapx1(Homeobox)
Smad3(MAD),BMYB(HTH),EWS,TCF4(bHLH),Fra2(bZIP),Foxo1(Forkhead),Snail1(Zf)
Esrrb(NR),Pdx1(Homeobox),Unknown(Homeobox),Elk4(ETS),CREB5(bZIP),Hoxb4(Homeobox),GFY-Staf(
Atf1(bZIP),Nkx2.1(Homeobox),Hoxa11(Homeobox),NeuroG2(bHLH),ERG(ETS),FOXP1(Forkhead),Atoh1(bHLH)
ZEB1(Zf),KLF5(Zf),Elk1(ETS),BHLHA15(bHLH),Ronin(THAP),Duxbl(Homeobox),Atf1(bZIP)
Mef2c(MADS),Pitx1,KLF14(Zf),Hoxa13(Homeobox),MyoD(bHLH),Mef2d(MADS),FOXP1(Forkhead)
Atf7(bZIP),NF1,MyoG(bHLH),Atf2(bZIP),bHLHE41(bHLH),NFAT,NeuroD1(bHLH)
BORIS(Zf),En1(Homeobox),Brachyury(T-box),Rbpj1(,AP-1(bZIP),SPDEF(ETS),PU.1-IRF(ETS
Pbx3(Homeobox),Cdx2(Homeobox),Elk4(ETS),Tcf12(bHLH),Fra1(bZIP),Nanog(Homeobox),Foxo1(Forkhead)
MNT(bHLH),AR-halfsite(NR),STAT4(Stat),Hoxd13(Homeobox),Stat3,Elk4(ETS),BMYB(HTH)
PBX1(Homeobox),KLF6(Zf),Hoxa13(Homeobox),EWS,JunB(bZIP),ELF3(ETS),Slug(Zf)
Sp2(Zf),Bcl11a(Zf),Klf4(Zf),FOXK1(Forkhead),Atf3(bZIP),ZNF711(Zf),NFIL3(bZIP)
NF-E2(bZIP),CREB5(bZIP),Tbox,CArG(MADS),Foxf1(Forkhead),NeuroD1(bHLH),Egr2(Zf)
Max(bHLH),ZBTB18(Zf),Pitx1(Homeobox),KLF1(Zf),c-Jun-CRE(bZIP),STAT5(Stat),BHLHA15(bHLH)
AMYB(HTH),Otx2(Homeobox),KLF1(Zf),Unknown(Homeobox),Atf2(bZIP),DUX4(Homeobox),FoxD3(forkhead)
ERRg(NR),REST-NRSF(Zf),CArG(MADS),Twist2(bHLH),FOXK1(Forkhead),NFkB-p65(RHD),MyoD(bHLH)
Foxo3(Forkhead),MafB(bZIP),Lhx3(Homeobox),Elk1(ETS),Lhx3(Homeobox),Twist2(bHLH),Atf2(bZIP)
GATA,Hoxc9(Homeobox),EKLF(Zf),MyoG(bHLH),TFE3(bHLH),ZFX(Zf),NeuroG2(bHLH)
MafB(bZIP),Nkx3.1(Homeobox),DLX2(Homeobox),DLX1(Homeobox),BATF(bZIP),ZNF416(Zf),NFE2L2(bZIP)
BMYB(HTH),FOXK1(Forkhead),Egr1(Zf),NeuroD1(bHLH),GFY-Staf(,Hoxd12(Homeobox),E2F3(E2F)
USF1(bHLH),KLF14(Zf),DLX1(Homeobox),MafB(bZIP),Stat3(Stat),Foxf1(Forkhead),Twist2(bHLH)
Pknox1(Homeobox),STAT5(Stat),EWS,Sp5(Zf),Max(bHLH),Elf4(ETS),c-Jun-CRE(bZIP)
Bach1(bZIP),Rfx6(HTH),Nkx6.1(Homeobox),Otx2(Homeobox),FOXK2(Forkhead),CREB5(bZIP),FOXK2(Forkhead)
Stat3(Stat),Pitx1(Homeobox),NFAT,Six2(Homeobox),ETS1(ETS),LEF1(HMG),Six4(Homeobox)
Usf2(bHLH),MYB(HTH),Otx2(Homeobox),WT1(Zf),Klf9(Zf),FoxL2(Forkhead),SCL(bHLH)
Fli1(ETS),STAT1(Stat),ZBTB18(Zf),Olig2(bHLH),NFY(CCAAT),EBF1(EBF),GABPA(ETS)
bHLHE40(bHLH),Ptf1a(bHLH),Sp2(Zf),BMAL1(bHLH),NPAS2(bHLH),ZBTB18(Zf),Pdx1(Homeobox)
Isl1(Homeobox),PBX2(Homeobox),BMYB(HTH),Smad4(MAD),GATA,ELF5(ETS),ETS1(ETS)
Nrf2(bZIP),Atf7(bZIP),FOXK1(Forkhead),Egr1(Zf),Ptf1a(bHLH),Tbr1(T-box),Otx2(Homeobox)
PAX5(Paired,NFIL3(bZIP),STAT1(Stat),Smad2(MAD),Klf4(Zf),Olig2(bHLH),Rfx5(HTH)
Atf2(bZIP),WT1(Zf),ELF1(ETS),Atf1(bZIP),DLX2(Homeobox),Bcl11a(Zf),E2F4(E2F)
n-Myc(bHLH),ZNF416(Zf),Six2(Homeobox),Ascl1(bHLH),Rfx6(HTH),Ascl1(bHLH),Nkx2.2(Homeobox)
Pax8(Paired,c-Jun-CRE(bZIP),MafB(bZIP),MyoD(bHLH),MNT(bHLH),EBF2(EBF),Smad3(MAD)
Pdx1(Homeobox),Max(bHLH),Sp5(Zf),LHX9(Homeobox),CRX(Homeobox),PAX3,AMYB(HTH)
PU.1(ETS),Hoxd10(Homeobox),Bapx1(Homeobox),RUNX1(Runt),CRE(bZIP),Mef2b(MADS),HLF(bZIP)
E2F4(E2F),Fli1(ETS),Bcl11a(Zf),EKLF(Zf),LHX9(Homeobox),Elk1(ETS),Six2(Homeobox)
STAT4(Stat),DLX1(Homeobox),AMYB(HTH),NPAS(bHLH),DLX1(Homeobox),Hoxc9(Homeobox),TCF4(bHLH)
Unknown-ESC-element(,Lhx3(Homeobox),BMAL1(bHLH),RUNX(Runt),Six1(Homeobox),FOXK1(Forkhead),ZNF143
PBX2(Homeobox),Nkx6.1(Homeobox),Atf7(bZIP),STAT1(Stat),Elf4(ETS),CEBP(bZIP),Six1(Homeobox)
ETV4(ETS),Sp5(Zf),CREB5(bZIP),Tbox,Brachyury(T-box),GATA3(Zf),MafK(bZIP)
CREB5(bZIP),Zfp281(Zf),NPAS(bHLH),PBX2(Homeobox),GFY(,Tgif1(Homeobox),CEBP
c-Myc(bHLH),EBF2(EBF),Elf4(ETS),FOXA1(Forkhead),E-box(bHLH),Pitx1,GFX(
ETS1(ETS),DLX2(Homeobox),Pitx1,NFIL3(bZIP),AR-halfsite(NR),Rbpj1(,En1(Homeobox)
PAX5(Paired,Klf4(Zf),Atf1(bZIP),ELF1(ETS),TATA-Box(TBP),Tcf7(HMG),CREB5(bZIP)
c-Myc(bHLH),EBF(EBF),STAT5(Stat),STAT5(Stat),BMYB(HTH),Six1(Homeobox),GFY(
DLX2(Homeobox),Srebp1a(bHLH),EBF2(EBF),RUNX-AML(Runt),HIF-1b(HLH),Mef2c(MADS),PAX3
E2F6(E2F),PU.1-IRF(ETS,ETS(ETS),CLOCK(bHLH),Six2(Homeobox),Tcf3(HMG),ETV4(ETS)
FoxL2(Forkhead),Atf1(bZIP),c-Jun-CRE(bZIP),FOXK2(Forkhead),bHLHE40(bHLH),Pax8(Paired,CEBP(bZIP)
Twist(bHLH),NPAS(bHLH),Max(bHLH),TATA-Box(TBP),CArG(MADS),Tgif2(Homeobox),NFY(CCAAT)
Egr2(Zf),Six1(Homeobox),FOXP1(Forkhead),Pitx1,E2F4(E2F),PAX5(Paired,Olig2(bHLH)
E2F7(E2F),KLF1(Zf),EHF(ETS),MYB(HTH),Nanog(Homeobox),GLIS3(Zf),Maz(Zf)
c-Jun-CRE(bZIP),FOXA1(Forkhead),Cdx2(Homeobox),RUNX2(Runt),CTCF-SatelliteElement(Zf,Npas4(bHLH),Smad4(MAD)
DLX1(Homeobox),CEBP(bZIP),KLF3(Zf),HLF(bZIP),AMYB(HTH),PU.1(ETS),GLIS3(Zf)
GLIS3(Zf),Etv2(ETS),NFIL3(bZIP),Hoxc9(Homeobox),Isl1(Homeobox),TCFL2(HMG),Pknox1(Homeobox)
